"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad","avgt",2,25,"2,130417","0,004269","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer1","avgt",2,25,"2,157468","0,003622","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer2","avgt",2,25,"2,103365","0,006864","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline","avgt",2,25,"2,894141","0,687182","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer1","avgt",2,25,"2,886799","0,691730","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer2","avgt",2,25,"2,901482","0,683352","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended","avgt",2,25,"2,142854","0,017271","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer1","avgt",2,25,"2,142154","0,018073","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer2","avgt",2,25,"2,143554","0,017565","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad","avgt",2,25,"2,819168","0,635697","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer1","avgt",2,25,"2,816537","0,634312","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer2","avgt",2,25,"2,821798","0,640435","ns/op"
