"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterInputStreamBenchmark.read","avgt",1,25,0.260819,0.004640,"us/op",_1_KB,_64_MB,BUFFERED_IN_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterInputStreamBenchmark.read","avgt",1,25,0.488743,0.013653,"us/op",_1_KB,_64_MB,DATA_IN_STREAM
