"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.explicit_10_params","avgt",1,25,"2,027339","0,005612","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.explicit_2_params","avgt",1,25,"1,979849","0,004046","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.explicit_6_params","avgt",1,25,"2,035244","0,003261","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.no_inline_explicit_10_params","avgt",1,25,"2,722073","0,007782","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.no_inline_explicit_2_params","avgt",1,25,"2,018666","0,001856","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.no_inline_explicit_6_params","avgt",1,25,"2,171352","0,000583","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.no_inline_var_args_10_params","avgt",1,25,"9,524526","0,041592","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.no_inline_var_args_2_params","avgt",1,25,"3,728706","0,013244","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.no_inline_var_args_6_params","avgt",1,25,"6,632499","0,010778","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.var_args_10_params","avgt",1,25,"2,032253","0,005607","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.var_args_2_params","avgt",1,25,"1,965404","0,002100","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VarArgsBenchmark.var_args_6_params","avgt",1,25,"2,021445","0,002042","ns/op"
