"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bytesSize","Param: generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.318456,0.013704,"ns/op",1024,L128X1024MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.301413,0.011358,"ns/op",1024,L128X128MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.289435,0.006367,"ns/op",1024,L128X256MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.290606,0.004666,"ns/op",1024,L32X64MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.281935,0.008228,"ns/op",1024,L64X1024MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.288597,0.009522,"ns/op",1024,L64X128MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.294181,0.015419,"ns/op",1024,L64X128StarStarRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.291674,0.005240,"ns/op",1024,L64X256MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.292933,0.004327,"ns/op",1024,Random
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.291302,0.002413,"ns/op",1024,SecureRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.292012,0.003587,"ns/op",1024,SplittableRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,5.565801,0.111609,"ns/op",1024,Xoroshiro128PlusPlus
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,5.538177,0.108843,"ns/op",1024,Xoshiro256PlusPlus
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.447145,0.006077,"ns/op",1024,L128X1024MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.440374,0.006490,"ns/op",1024,L128X128MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.450803,0.004335,"ns/op",1024,L128X256MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.448409,0.004275,"ns/op",1024,L32X64MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.448116,0.003041,"ns/op",1024,L64X1024MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.450437,0.004395,"ns/op",1024,L64X128MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.449261,0.005666,"ns/op",1024,L64X128StarStarRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.445606,0.006716,"ns/op",1024,L64X256MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.447858,0.005473,"ns/op",1024,Random
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.446841,0.006970,"ns/op",1024,SecureRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.452147,0.004318,"ns/op",1024,SplittableRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,5.535234,0.100841,"ns/op",1024,Xoroshiro128PlusPlus
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,5.556303,0.102483,"ns/op",1024,Xoshiro256PlusPlus
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,3.285969,0.014022,"ns/op",1024,L128X1024MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,3.291000,0.005279,"ns/op",1024,L128X128MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,3.286365,0.006548,"ns/op",1024,L128X256MixRandom
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,3.289781,0.002634,"ns/op",1024,L32X64MixRandom
