"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: nodes"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_list_binary_heap","avgt",1,1,"101,480742",NaN,"ms/op",8192
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_matrix","avgt",1,1,"68,795417",NaN,"ms/op",8192
