"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays_stride_2","avgt",1,25,59.384091,0.368634,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays_stride_x2","avgt",1,25,0.037903,0.000116,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays_unknown_trip_count","avgt",1,25,25.543096,0.554973,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.ne_2_arrays","avgt",1,25,28.236818,0.173803,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.non_zero_array_elements","avgt",1,25,28.149145,0.109232,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.pow_2_arrays","avgt",1,25,11909.134983,16.046075,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.sin_array_elements","avgt",1,25,1068.396137,0.503353,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.sinh_array_elements","avgt",1,25,1958.885959,1.208457,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.sqrt_array_elements","avgt",1,25,163.010024,0.244154,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.sub_2_arrays","avgt",1,25,26.611606,2.130648,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.sum_2_arrays_mul_pairs","avgt",1,25,1551.964828,8.109977,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.tan_array_elements","avgt",1,25,3327.091745,14.070373,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.tanh_array_elements","avgt",1,25,2471.154233,2.541322,"us/op",262144
