"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: algorithm","Param: messageLength"
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"258,567126",NaN,"us/op",SHA256withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"260,036644",NaN,"us/op",SHA256withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"259,676752",NaN,"us/op",SHA256withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"265,082992",NaN,"us/op",SHA256withDSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"606,983972",NaN,"us/op",SHA384withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"607,955210",NaN,"us/op",SHA384withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"608,838507",NaN,"us/op",SHA384withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"616,955112",NaN,"us/op",SHA384withDSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"607,319512",NaN,"us/op",SHA512withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"607,602473",NaN,"us/op",SHA512withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"608,333308",NaN,"us/op",SHA512withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaSignatureBenchmark.sign","avgt",1,1,"616,975420",NaN,"us/op",SHA512withDSA,16384
