"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: algorithm","Param: messageLength"
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"94,854501",NaN,"us/op",secp256r1,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"94,115758",NaN,"us/op",secp256r1,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"95,319460",NaN,"us/op",secp256r1,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"101,371656",NaN,"us/op",secp256r1,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"525,966269",NaN,"us/op",secp384r1,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"527,464739",NaN,"us/op",secp384r1,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"527,654944",NaN,"us/op",secp384r1,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"536,695297",NaN,"us/op",secp384r1,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"1148,996238",NaN,"us/op",secp521r1,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"1154,933889",NaN,"us/op",secp521r1,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"1151,661845",NaN,"us/op",secp521r1,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.DsaEcSignatureBenchmark.sign","avgt",1,1,"1163,583767",NaN,"us/op",secp521r1,16384
