"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterInputStreamBenchmark.read","avgt",1,15,"0,173995","0,000885","us/op",_1_KB,_64_MB,BUFFERED_IN_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterInputStreamBenchmark.read","avgt",1,15,"0,539126","0,002123","us/op",_1_KB,_64_MB,DATA_IN_STREAM
