"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,15,"1,525954","0,089215","us/op",_1_KB,_64_MB,BUFFERED_OUT_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,15,"1,480648","0,077115","us/op",_1_KB,_64_MB,DATA_OUT_STREAM
