"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.lzwcodec.LzwCodecBenchmark.compress","avgt",1,25,10.149783,0.072629,"ms/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.lzwcodec.LzwCodecBenchmark.decompress","avgt",1,25,0.420467,0.000638,"ms/op",262144
