"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: coder","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,144.982009,2.097625,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,3053.164376,44.442394,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,464.000100,0.000002,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,312.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,473.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,106.375533,0.934598,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,6323.889994,150.141995,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,705.600074,22.018358,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,644.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,926.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,136.135595,0.619420,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,6444.983586,29.463221,"MB/sec",LATIN1,128
