"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.at_offset","avgt",1,1,"6,625115",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.at_zone","avgt",1,1,"8,048232",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.compare_to","avgt",1,1,"0,674940",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.get_epoch_second","avgt",1,1,"0,467056",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.get_nano_of_day","avgt",1,1,"0,469442",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.is_after","avgt",1,1,"0,682268",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.is_before","avgt",1,1,"0,660293",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.minus_nanos","avgt",1,1,"6,415914",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.now","avgt",1,1,"25,214742",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.now_clock","avgt",1,1,"26,029641",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.of_epoch_milli","avgt",1,1,"5,038306",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.of_epoch_second","avgt",1,1,"6,024371",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.of_epoch_second_nano","avgt",1,1,"5,052561",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.parse","avgt",1,1,"267,901249",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.plus_nanos","avgt",1,1,"6,411584",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.to_epoch_milli","avgt",1,1,"0,781569",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.to_string","avgt",1,1,"98,775885",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.truncated_to_nanos","avgt",1,1,"0,469058",NaN,"ns/op"
