"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,1,"1,479590",NaN,"us/op",_1_KB,_64_MB,BUFFERED_OUT_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,1,"1,327011",NaN,"us/op",_1_KB,_64_MB,DATA_OUT_STREAM
