"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: formatterType","Param: temporalType"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"69,294032",NaN,"ns/op",BASIC_ISO_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"67,601864",NaN,"ns/op",BASIC_ISO_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"57,593672",NaN,"ns/op",ISO_OFFSET_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"59,812140",NaN,"ns/op",ISO_OFFSET_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"82,766123",NaN,"ns/op",ISO_OFFSET_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"81,889122",NaN,"ns/op",ISO_OFFSET_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"125,411804",NaN,"ns/op",ISO_OFFSET_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"133,811855",NaN,"ns/op",ISO_OFFSET_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"142,370902",NaN,"ns/op",ISO_ZONED_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"148,233513",NaN,"ns/op",ISO_ZONED_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"41,080345",NaN,"ns/op",ISO_ORDINAL_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"44,306973",NaN,"ns/op",ISO_ORDINAL_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"76,106407",NaN,"ns/op",ISO_WEEK_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"81,612708",NaN,"ns/op",ISO_WEEK_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"74,304942",NaN,"ns/op",ISO_INSTANT,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"83,832698",NaN,"ns/op",ISO_INSTANT,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"134,289067",NaN,"ns/op",RFC_1123_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,1,"133,954721",NaN,"ns/op",RFC_1123_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"45,930933",NaN,"ns/op",BASIC_ISO_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"44,518365",NaN,"ns/op",BASIC_ISO_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"47,687147",NaN,"ns/op",ISO_OFFSET_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"48,056759",NaN,"ns/op",ISO_OFFSET_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"62,292385",NaN,"ns/op",ISO_OFFSET_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"62,625321",NaN,"ns/op",ISO_OFFSET_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"100,926610",NaN,"ns/op",ISO_OFFSET_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"101,414167",NaN,"ns/op",ISO_OFFSET_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"121,089189",NaN,"ns/op",ISO_ZONED_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"121,597144",NaN,"ns/op",ISO_ZONED_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"39,345385",NaN,"ns/op",ISO_ORDINAL_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"35,755410",NaN,"ns/op",ISO_ORDINAL_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"58,270409",NaN,"ns/op",ISO_WEEK_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"57,261995",NaN,"ns/op",ISO_WEEK_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"63,889813",NaN,"ns/op",ISO_INSTANT,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"64,458802",NaN,"ns/op",ISO_INSTANT,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"105,136473",NaN,"ns/op",RFC_1123_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,1,"100,694148",NaN,"ns/op",RFC_1123_DATE_TIME,OFFSET_DATE_TIME
