"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: loadFactor","Param: threadType"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.holidayplanner.HolidayPlannerBenchmark.travel_planner","avgt",1,1,"1,683756",NaN,"ms/op",256,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.holidayplanner.HolidayPlannerBenchmark.travel_planner","avgt",1,1,"254,389334",NaN,"ms/op",256,PLATFORM
