"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: regexp"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split","avgt",1,25,"68,080166","0,957392","us/op",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.alloc.rate","avgt",1,25,"2004,923105","28,462194","MB/sec",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.alloc.rate.norm","avgt",1,25,"143080,007219","0,009199","B/op",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.count","avgt",1,25,"205,000000",NaN,"counts",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.time","avgt",1,25,"258,000000",NaN,"ms",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split","avgt",1,25,"70,836767","1,447841","us/op",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.alloc.rate","avgt",1,25,"1927,568235","38,017796","MB/sec",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.alloc.rate.norm","avgt",1,25,"143080,012782","0,013535","B/op",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.count","avgt",1,25,"196,000000",NaN,"counts",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.pattern_split:·gc.time","avgt",1,25,"250,000000",NaN,"ms",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split","avgt",1,25,"32,834314","0,342162","us/op",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.alloc.rate","avgt",1,25,"4150,668833","43,068725","MB/sec",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.alloc.rate.norm","avgt",1,25,"142880,004650","0,005654","B/op",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.count","avgt",1,25,"425,000000",NaN,"counts",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.time","avgt",1,25,"604,000000",NaN,"ms",_
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split","avgt",1,25,"71,270876","1,600408","us/op",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.alloc.rate","avgt",1,25,"1922,749454","41,654211","MB/sec",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.alloc.rate.norm","avgt",1,25,"143576,012064","0,013730","B/op",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.count","avgt",1,25,"196,000000",NaN,"counts",__
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternSplitBenchmark.string_split:·gc.time","avgt",1,25,"265,000000",NaN,"ms",__
