"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: regexp"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternMatcherBenchmark.pattern_find","avgt",1,25,"847,119777","131,383151","us/op","^(.*[aeuio].*){3,}$"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternMatcherBenchmark.pattern_matches","avgt",1,25,"829,257919","91,505677","us/op","^(.*[aeuio].*){3,}$"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringPatternMatcherBenchmark.string_matches","avgt",1,25,"834,441758","5,281167","us/op","^(.*[aeuio].*){3,}$"
