"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: iterations"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.LoopInvariantCodeMotionBenchmark.initial_loop","avgt",1,25,"3185,858333","2,423472","us/op",16384
"com.ionutbalosin.jvm.performance.benchmarks.compiler.LoopInvariantCodeMotionBenchmark.manual_loop_hoisting_and_sinking","avgt",1,25,"1449,423993","10,804683","us/op",16384
