"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: supertypes"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.TypeCheckSlowPathBenchmark.instanceof_type_check","avgt",1,25,8.350136,0.007582,"ns/op",16
"com.ionutbalosin.jvm.performance.benchmarks.compiler.TypeCheckSlowPathBenchmark.instanceof_type_check","avgt",1,25,16.913224,0.007139,"ns/op",32
"com.ionutbalosin.jvm.performance.benchmarks.compiler.TypeCheckSlowPathBenchmark.instanceof_type_check","avgt",1,25,37.431359,0.031169,"ns/op",64
"com.ionutbalosin.jvm.performance.benchmarks.compiler.TypeCheckSlowPathBenchmark.instanceof_type_check","avgt",1,25,82.085151,0.063957,"ns/op",128
"com.ionutbalosin.jvm.performance.benchmarks.compiler.TypeCheckSlowPathBenchmark.instanceof_type_check","avgt",1,25,175.386014,0.106210,"ns/op",256
