"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.at_offset","avgt",1,1,"12,321696",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.at_zone","avgt",1,1,"13,604138",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.compare_to","avgt",1,1,"0,589874",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.get_epoch_second","avgt",1,1,"0,463515",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.get_nano_of_day","avgt",1,1,"0,584202",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.is_after","avgt",1,1,"0,601072",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.is_before","avgt",1,1,"0,598675",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.minus_nanos","avgt",1,1,"2,271619",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.now","avgt",1,1,"24,880370",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.now_clock","avgt",1,1,"25,550972",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.of_epoch_milli","avgt",1,1,"1,550322",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.of_epoch_second","avgt",1,1,"5,184960",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.of_epoch_second_nano","avgt",1,1,"1,666923",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.parse","avgt",1,1,"475,070543",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.plus_nanos","avgt",1,1,"2,279703",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.to_epoch_milli","avgt",1,1,"0,830587",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.to_string","avgt",1,1,"209,093955",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.InstantBenchmark.truncated_to_nanos","avgt",1,1,"0,371519",NaN,"ns/op"
