"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataSize","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,1,"107,354972",NaN,"us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,1,"106,972609",NaN,"us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,1,"105,481792",NaN,"us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,1,"104,485642",NaN,"us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,1,"104,267423",NaN,"us/op",16384,448,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,1,"136,991345",NaN,"us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,1,"136,630352",NaN,"us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,1,"136,740789",NaN,"us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,1,"136,694626",NaN,"us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,1,"136,481721",NaN,"us/op",16384,448,Blowfish/CBC/NoPadding
