"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: algorithm","Param: messageLength"
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,639.926651,0.336249,"us/op",SHA256withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,641.672679,0.303613,"us/op",SHA256withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,646.550257,0.386256,"us/op",SHA256withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,694.340336,0.397788,"us/op",SHA256withDSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1514.320042,1.694764,"us/op",SHA384withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1515.413863,1.344848,"us/op",SHA384withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1520.120966,1.338694,"us/op",SHA384withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1552.078458,1.550914,"us/op",SHA384withDSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1514.575057,1.420457,"us/op",SHA512withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1515.863460,1.603113,"us/op",SHA512withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1519.292897,1.429184,"us/op",SHA512withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,1553.507594,1.052230,"us/op",SHA512withDSA,16384
