"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: formatterType"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,868.331541,3.323082,"ns/op",BASIC_ISO_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,669.845813,25.445880,"ns/op",ISO_OFFSET_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,1249.726983,4.693121,"ns/op",ISO_OFFSET_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,2128.322490,8.839461,"ns/op",ISO_OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,2538.806775,6.807616,"ns/op",ISO_ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,716.574392,6.203087,"ns/op",ISO_ORDINAL_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,1505.958155,7.335689,"ns/op",ISO_WEEK_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,1762.812852,12.949712,"ns/op",ISO_INSTANT
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,25,2303.450442,4.381737,"ns/op",RFC_1123_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,868.587142,6.883748,"ns/op",BASIC_ISO_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,658.309349,6.018527,"ns/op",ISO_OFFSET_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,1256.382540,7.274667,"ns/op",ISO_OFFSET_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,2136.751766,9.090012,"ns/op",ISO_OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,2555.336566,22.309128,"ns/op",ISO_ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,726.443542,3.233812,"ns/op",ISO_ORDINAL_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,1507.599828,5.589871,"ns/op",ISO_WEEK_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,1757.954480,19.043481,"ns/op",ISO_INSTANT
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,25,2299.040397,8.099258,"ns/op",RFC_1123_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_local_date_query","avgt",1,25,866.499378,2.710530,"ns/op",BASIC_ISO_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_local_date_query","avgt",1,25,671.032815,26.213449,"ns/op",ISO_OFFSET_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_local_date_query","avgt",1,25,1257.790874,8.675071,"ns/op",ISO_OFFSET_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_local_date_query","avgt",1,25,2134.046133,11.238741,"ns/op",ISO_OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_local_date_query","avgt",1,25,2559.457570,16.448106,"ns/op",ISO_ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_local_date_query","avgt",1,25,724.629817,3.598358,"ns/op",ISO_ORDINAL_DATE
