"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: useLoopResult"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.DeadLoopEliminationBenchmark.baseline","avgt",1,25,0.807033,0.056340,"ns/op",false
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.DeadLoopEliminationBenchmark.conditional_dead_loop","avgt",1,25,28918.646564,0.488580,"ns/op",false
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.DeadLoopEliminationBenchmark.dead_loop","avgt",1,25,0.789341,0.028110,"ns/op",false
