"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.macro.diskio.FilterInputStreamBenchmark.read","avgt",1,25,0.404817,0.001312,"us/op",_1_KB,_64_MB,BUFFERED_IN_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.macro.diskio.FilterInputStreamBenchmark.read","avgt",1,25,1.645337,0.003599,"us/op",_1_KB,_64_MB,DATA_IN_STREAM
