"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.array_pad","avgt",2,25,"1,787481","0,283918","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.array_pad:reader","avgt",2,25,"1,271354","0,510564","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.array_pad:writer","avgt",2,25,"2,303607","0,059169","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.baseline","avgt",2,25,"2,064271","0,358991","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.baseline:reader","avgt",2,25,"1,931235","0,677946","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.baseline:writer","avgt",2,25,"2,197307","0,055931","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.contended","avgt",2,25,"0,685207","0,004078","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.contended:reader","avgt",2,25,"0,589747","0,001447","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.contended:writer","avgt",2,25,"0,780667","0,008960","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.manual_pad","avgt",2,25,"0,684301","0,002667","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.manual_pad:reader","avgt",2,25,"0,589794","0,001643","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.manual_pad:writer","avgt",2,25,"0,778807","0,006113","ns/op"
