"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: magicNumber","Param: size"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LoopUnswitchBenchmark.initial_loop","avgt",1,25,"789,400373","19,770011","us/op",64,262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LoopUnswitchBenchmark.manual_loop_unswitch","avgt",1,25,"345,717876","0,414315","us/op",64,262144
