"VM","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"OpenJDK HotSpot VM",1,1136,"ns/op"
"GraalVM CE",0.9,1136,"ns/op"
"Oracle GraalVM",0.9,1136,"ns/op"
"Azul Prime VM",NA,0,"ns/op"
