"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad","avgt",2,25,"2,240309","0,074468","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:reader","avgt",2,25,"2,266165","0,076705","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer","avgt",2,25,"2,214453","0,072643","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline","avgt",2,25,"4,039903","0,062540","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:reader","avgt",2,25,"4,244401","0,090449","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer","avgt",2,25,"3,835405","0,157651","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended","avgt",2,25,"2,079653","0,008842","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:reader","avgt",2,25,"2,013616","0,001257","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer","avgt",2,25,"2,145690","0,017291","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad","avgt",2,25,"2,076492","0,005829","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:reader","avgt",2,25,"2,016057","0,008082","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer","avgt",2,25,"2,136927","0,009614","ns/op"
