"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_10_params","avgt",1,25,"2,853039","0,003008","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_2_params","avgt",1,25,"2,246602","0,010932","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_6_params","avgt",1,25,"2,548118","0,019817","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_10_params","avgt",1,25,"3,721872","0,000608","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_2_params","avgt",1,25,"2,869292","0,001244","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_6_params","avgt",1,25,"3,179574","0,001210","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_10_params","avgt",1,25,"10,576873","0,143760","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_2_params","avgt",1,25,"4,797534","0,059346","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_6_params","avgt",1,25,"7,624032","0,065749","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_10_params","avgt",1,25,"2,842376","0,008784","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_2_params","avgt",1,25,"2,235451","0,013297","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_6_params","avgt",1,25,"2,523769","0,006913","ns/op"
