"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: magicNumber","Param: size"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LoopUnswitchBenchmark.initial_loop","avgt",1,25,"814,762812","1,916037","us/op",64,262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LoopUnswitchBenchmark.manual_loop_unswitch","avgt",1,25,"565,246094","0,312782","us/op",64,262144
