"VM","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"OpenJDK HotSpot VM",1,27,"ns/op"
"GraalVM CE",1.12,27,"ns/op"
"GraalVM EE",0.94,27,"ns/op"
"Azul Prime VM",NA,0,"ns/op"
