"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: coder","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,167.826314,3.079155,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,2774.577434,50.819283,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,488.000117,0.000002,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,281.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,296.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,190.648611,1.984946,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,3530.382657,65.911848,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,705.600133,8.988956,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,361.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,376.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,196.645562,1.636029,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,3763.712730,31.349045,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,776.000137,0.000001,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,382.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.time","avgt",1,25,401.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,234.607103,2.403258,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,5691.835751,58.550491,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,1400.000164,0.000002,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,580.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.time","avgt",1,25,595.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,188.581372,1.500628,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate","avgt",1,25,3803.236247,30.243761,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate.norm","avgt",1,25,752.000131,0.000001,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.count","avgt",1,25,388.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.time","avgt",1,25,398.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,207.119011,2.370925,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate","avgt",1,25,6300.132594,71.431982,"MB/sec",UTF16,128
