"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: coder","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,337.688032,0.746095,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,1242.587605,2.744166,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,440.000333,0.000001,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,475.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,1593.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,291.818632,0.328825,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,2117.626132,2.384885,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,648.000288,0.000001,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,825.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,2768.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,295.936251,0.202127,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,2887.348129,1.971566,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,896.007350,0.000001,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,1145.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.time","avgt",1,25,3774.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,370.844326,1.196874,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,4191.375045,13.550619,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,1629.874586,0.000002,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,1680.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.time","avgt",1,25,5498.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,303.262615,0.826226,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate","avgt",1,25,2817.631901,7.676604,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate.norm","avgt",1,25,896.007356,0.000002,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.count","avgt",1,25,1120.000000,NaN,"counts",LATIN1,128
