"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: nodes"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_list_binary_heap","avgt",1,25,302.523349,34.829665,"ms/op",8192
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_matrix","avgt",1,25,214.386593,19.597225,"ms/op",8192
