"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,25,5.531613,0.047285,"us/op",_1_KB,_64_MB,BUFFERED_OUT_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,25,5.489015,0.026420,"us/op",_1_KB,_64_MB,DATA_OUT_STREAM
