"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.lzwcodec.LzwCodecBenchmark.compress","avgt",1,25,35.731650,0.155073,"ms/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.lzwcodec.LzwCodecBenchmark.decompress","avgt",1,25,1.224782,0.004079,"ms/op",262144
