"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterInputStreamBenchmark.read","avgt",1,25,0.418050,0.001339,"us/op",_1_KB,_64_MB,BUFFERED_IN_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterInputStreamBenchmark.read","avgt",1,25,1.694990,0.005411,"us/op",_1_KB,_64_MB,DATA_IN_STREAM
