"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad","thrpt",2,25,"1,088826","0,279252","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer1","thrpt",2,25,"0,667801","0,270460","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer2","thrpt",2,25,"0,421025","0,009000","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline","thrpt",2,25,"0,895372","0,014274","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer1","thrpt",2,25,"0,456084","0,014389","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer2","thrpt",2,25,"0,439288","0,015261","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended","thrpt",2,25,"0,883123","0,007707","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer1","thrpt",2,25,"0,448924","0,017281","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer2","thrpt",2,25,"0,434198","0,019123","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad","thrpt",2,25,"2,583745","0,042824","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer1","thrpt",2,25,"1,291898","0,021451","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer2","thrpt",2,25,"1,291847","0,021579","ops/ns"
