"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iterations","Param: offset"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.LoopReductionBenchmark.initial_loop","avgt",1,25,5.785797,0.001337,"ns/op",1048576,128
"com.ionutbalosin.jvm.performance.benchmarks.compiler.LoopReductionBenchmark.manual_loop_reduction","avgt",1,25,6.172498,0.006508,"ns/op",1048576,128
