"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacity","Param: coder"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator","avgt",1,25,586.289052,1.889156,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate","avgt",1,25,637.631853,2.055123,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate.norm","avgt",1,25,392.000155,0.000132,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.count","avgt",1,25,65.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.time","avgt",1,25,112.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator","avgt",1,25,578.518005,2.771622,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate","avgt",1,25,989.097477,4.725628,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate.norm","avgt",1,25,600.000095,0.000106,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.count","avgt",1,25,101.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.time","avgt",1,25,151.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer","avgt",1,25,587.090834,3.916181,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,1221.611425,8.115870,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate.norm","avgt",1,25,752.000083,0.000100,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.count","avgt",1,25,124.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.time","avgt",1,25,183.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer","avgt",1,25,655.096810,0.800708,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,2538.807177,3.101507,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate.norm","avgt",1,25,1744.000061,0.000083,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.count","avgt",1,25,256.000000,NaN,"counts",128,UTF16
