"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: comparisonType","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.content_equals_string","avgt",1,25,34.231760,0.962553,"ns/op",LATIN1_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.content_equals_string","avgt",1,25,33.569701,0.237923,"ns/op",LATIN1_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.content_equals_string","avgt",1,25,59.132714,1.031619,"ns/op",UTF16_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.content_equals_string","avgt",1,25,58.010758,0.036001,"ns/op",UTF16_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals","avgt",1,25,33.395518,0.190544,"ns/op",LATIN1_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals","avgt",1,25,33.304656,0.206345,"ns/op",LATIN1_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals","avgt",1,25,59.002298,1.486383,"ns/op",UTF16_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals","avgt",1,25,57.825185,0.513099,"ns/op",UTF16_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_char_sequence","avgt",1,25,33.573348,0.053977,"ns/op",LATIN1_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_char_sequence","avgt",1,25,33.542311,0.050972,"ns/op",LATIN1_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_char_sequence","avgt",1,25,60.643278,1.532529,"ns/op",UTF16_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_char_sequence","avgt",1,25,59.796243,1.497430,"ns/op",UTF16_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_string_builder","avgt",1,25,42.342396,3.548469,"ns/op",LATIN1_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_string_builder","avgt",1,25,42.689318,3.811162,"ns/op",LATIN1_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_string_builder","avgt",1,25,65.694484,1.019758,"ns/op",UTF16_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_content_string_builder","avgt",1,25,65.087176,0.125038,"ns/op",UTF16_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_ignore_case","avgt",1,25,2009.247539,14.021572,"ns/op",LATIN1_TO_LATIN1,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_ignore_case","avgt",1,25,2003.768738,12.995100,"ns/op",LATIN1_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_ignore_case","avgt",1,25,2072.141037,43.112664,"ns/op",UTF16_TO_UTF16,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringEqualsBenchmark.equals_ignore_case","avgt",1,25,2130.838250,11.803706,"ns/op",UTF16_TO_LATIN1,1024
