"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: nodes"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_list_binary_heap","avgt",1,25,453.068614,2.867731,"ms/op",8192
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_matrix","avgt",1,25,134.108025,0.229465,"ms/op",8192
