"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bytesSize"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.doubles","avgt",1,25,9.570315,0.026582,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.ints","avgt",1,25,9.439351,0.026905,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.longs","avgt",1,25,9.588961,0.020052,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_boolean","avgt",1,25,3.150136,0.000268,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_bytes","avgt",1,25,1682.466754,0.281186,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_double","avgt",1,25,5.479843,0.000660,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_exponential","avgt",1,25,4.677256,0.037362,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_float","avgt",1,25,3.454848,0.000316,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_gaussian","avgt",1,25,42.772072,0.002647,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_int","avgt",1,25,2.934299,0.000327,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_long","avgt",1,25,3.193342,0.000292,"ns/op",1024
