"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: algorithm","Param: messageLength"
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,1615.932364,2.337956,"us/op",SHA256withRSA,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,1615.464943,2.006354,"us/op",SHA256withRSA,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,1622.646852,1.548162,"us/op",SHA256withRSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,1673.682638,3.276328,"us/op",SHA256withRSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,4810.723307,3.646647,"us/op",SHA384withRSA,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,4800.918628,3.475249,"us/op",SHA384withRSA,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,4808.641777,9.823936,"us/op",SHA384withRSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,4851.709443,8.242713,"us/op",SHA384withRSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,10337.405213,7.400648,"us/op",SHA512withRSA,64
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,10351.524627,4.277532,"us/op",SHA512withRSA,512
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,10362.209362,10.978139,"us/op",SHA512withRSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.api.signature.RsaSignatureBenchmark.sign","avgt",1,25,10433.146916,53.740777,"us/op",SHA512withRSA,16384
