"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: formatterType","Param: temporalType"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,151.892248,2.449146,"ns/op",BASIC_ISO_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,158.036844,2.143757,"ns/op",BASIC_ISO_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,142.207288,7.846859,"ns/op",ISO_OFFSET_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,147.923332,7.002208,"ns/op",ISO_OFFSET_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,379.724044,2.064998,"ns/op",ISO_OFFSET_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,373.574823,4.446761,"ns/op",ISO_OFFSET_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,330.264763,5.328892,"ns/op",ISO_OFFSET_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,336.981203,3.243458,"ns/op",ISO_OFFSET_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,592.950077,4.318588,"ns/op",ISO_ZONED_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,618.159495,42.096557,"ns/op",ISO_ZONED_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,125.070944,8.864812,"ns/op",ISO_ORDINAL_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,122.436722,3.144461,"ns/op",ISO_ORDINAL_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,219.262519,1.544318,"ns/op",ISO_WEEK_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,219.263686,2.813363,"ns/op",ISO_WEEK_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,216.162530,3.450683,"ns/op",ISO_INSTANT,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,221.591066,0.961399,"ns/op",ISO_INSTANT,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,391.492039,2.194032,"ns/op",RFC_1123_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,383.789982,5.706083,"ns/op",RFC_1123_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,114.561545,1.322691,"ns/op",BASIC_ISO_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,120.414096,0.746916,"ns/op",BASIC_ISO_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,130.361655,2.690648,"ns/op",ISO_OFFSET_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,132.367348,2.419820,"ns/op",ISO_OFFSET_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,358.859762,4.788990,"ns/op",ISO_OFFSET_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,362.342268,3.741586,"ns/op",ISO_OFFSET_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,316.162302,2.137892,"ns/op",ISO_OFFSET_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,312.552695,1.398636,"ns/op",ISO_OFFSET_DATE_TIME,OFFSET_DATE_TIME
