"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize"
"com.ionutbalosin.jvm.performance.benchmarks.macro.lzwcodec.LzwCodecBenchmark.compress","avgt",1,25,31.333941,0.278905,"ms/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.macro.lzwcodec.LzwCodecBenchmark.decompress","avgt",1,25,0.899194,0.003984,"ms/op",262144
