"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: gc","Param: shuffle"
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.array_list","avgt",1,25,2.981343,0.078069,"ns/op",false,false
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.array_list","avgt",1,25,4.766518,0.116214,"ns/op",false,true
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.array_list","avgt",1,25,2.904829,0.083616,"ns/op",true,false
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.array_list","avgt",1,25,4.997922,0.189895,"ns/op",true,true
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.integer_array","avgt",1,25,2.075506,0.053903,"ns/op",false,false
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.integer_array","avgt",1,25,3.117848,0.046933,"ns/op",false,true
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.integer_array","avgt",1,25,2.121807,0.016813,"ns/op",true,false
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.integer_array","avgt",1,25,3.015077,0.049074,"ns/op",true,true
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.linked_list","avgt",1,25,8.392092,0.049054,"ns/op",false,false
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.linked_list","avgt",1,25,8.341988,0.059028,"ns/op",false,true
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.linked_list","avgt",1,25,8.436072,0.024930,"ns/op",true,false
"com.ionutbalosin.jvm.performance.benchmarks.macro.memoryaccess.SequentialCollectionReadAccessBenchmark.linked_list","avgt",1,25,8.304161,0.088941,"ns/op",true,true
