"VM","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"OpenJDK HotSpot VM",1,1112,"ns/op"
"GraalVM CE",1.03,1112,"ns/op"
"Oracle GraalVM",0.77,1112,"ns/op"
"Azul Prime VM",NA,0,"ns/op"
