"VM","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"OpenJDK HotSpot VM",1,80,"ns/op"
"GraalVM CE",1.1,80,"ns/op"
"Oracle GraalVM",0.87,80,"ns/op"
"Azul Prime VM",NA,0,"ns/op"
