"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..biasedLocking"
"1","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.baseline","avgt",1,25,1.473175,0.002696,"ns/op","enabled"
"2","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.chain_method_calls","avgt",1,25,1.472017,0.000817,"ns/op","enabled"
"3","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.conditional_chain_method_calls","avgt",1,25,2.061457,0.002912,"ns/op","enabled"
"4","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.conditional_nested_method_calls","avgt",1,25,2.063009,0.002793,"ns/op","enabled"
"5","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.nested_synchronized","avgt",1,25,1.471951,0.000822,"ns/op","enabled"
"6","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.recursive_method_calls","avgt",1,25,1.47553,0.002575,"ns/op","enabled"
"7","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.baseline","avgt",1,25,5.69679,0.017337,"ns/op","disabled"
"8","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.chain_method_calls","avgt",1,25,5.691568,0.023529,"ns/op","disabled"
"9","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.conditional_chain_method_calls","avgt",1,25,5.555078,0.009378,"ns/op","disabled"
"10","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.conditional_nested_method_calls","avgt",1,25,5.55972,0.014095,"ns/op","disabled"
"11","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.nested_synchronized","avgt",1,25,5.7078,0.020731,"ns/op","disabled"
"12","com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LockCoarseningBenchmark.recursive_method_calls","avgt",1,25,5.656291,0.008588,"ns/op","disabled"
