"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iterations","Param: offset"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LoopReductionBenchmark.initial_loop","avgt",1,25,19304.799205,8.049120,"ns/op",1048576,128
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.LoopReductionBenchmark.manual_loop_reduction","avgt",1,25,2.059814,0.000150,"ns/op",1048576,128
