"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacity","Param: coder"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,720.390019,7.711715,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate","avgt",1,25,487.249501,5.159589,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate.norm","avgt",1,25,368.000030,0.000001,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.count","avgt",1,25,50.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.time","avgt",1,25,185.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,639.418568,3.885571,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate","avgt",1,25,859.116158,5.266660,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate.norm","avgt",1,25,576.000026,0.000001,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.count","avgt",1,25,86.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:·gc.time","avgt",1,25,292.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,863.314108,4.817167,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,892.591531,4.982080,"MB/sec",128,LATIN1
