"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.lzwcodec.LzwCodecBenchmark.compress","avgt",1,25,24.271639,0.329734,"ms/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.lzwcodec.LzwCodecBenchmark.decompress","avgt",1,25,1.468400,0.010604,"ms/op",262144
