"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,10.311735,0.089958,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,9.737009,0.057696,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,10.318496,0.087181,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,2.065557,0.000112,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,393.887089,2.036309,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_double","avgt",1,25,2.25561,0.000108,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,4.547842,0.023428,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_float","avgt",1,25,2.235863,0.000146,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,4.312045,0.001456,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_int","avgt",1,25,2.007643,0.000102,"ns/op",1024,"SplittableRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_long","avgt",1,25,2.008003,0.000085,"ns/op",1024,"SplittableRandom"
