"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize","Param: parameterSpec"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.pkcs8_private_key_encode","avgt",1,25,1.742704,0.017209,"us/op",16384,ML-DSA-44
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.pkcs8_private_key_encode","avgt",1,25,2.614091,0.019009,"us/op",16384,ML-DSA-65
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.pkcs8_private_key_encode","avgt",1,25,3.259061,0.047338,"us/op",16384,ML-DSA-87
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.sign","avgt",1,25,217.896512,1.984824,"us/op",16384,ML-DSA-44
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.sign","avgt",1,25,318.403926,2.759879,"us/op",16384,ML-DSA-65
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.sign","avgt",1,25,399.377087,2.758534,"us/op",16384,ML-DSA-87
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.verify","avgt",1,25,104.713249,0.714131,"us/op",16384,ML-DSA-44
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.verify","avgt",1,25,146.307169,0.903030,"us/op",16384,ML-DSA-65
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.verify","avgt",1,25,215.884837,1.406716,"us/op",16384,ML-DSA-87
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.x509_public_key_encode","avgt",1,25,2.005682,0.056015,"us/op",16384,ML-DSA-44
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.x509_public_key_encode","avgt",1,25,2.969818,0.033410,"us/op",16384,ML-DSA-65
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.MlDsaBenchmark.x509_public_key_encode","avgt",1,25,3.748276,0.037719,"us/op",16384,ML-DSA-87
