"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: nodes"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_list_binary_heap","avgt",1,25,407.768127,16.301895,"ms/op",8192
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_matrix","avgt",1,25,74.788158,0.124322,"ms/op",8192
