"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: iterations"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.LoopInvariantCodeMotionBenchmark.initial_loop","avgt",1,25,"2293,054768","16,059142","us/op",16384
"com.ionutbalosin.jvm.performance.benchmarks.compiler.LoopInvariantCodeMotionBenchmark.manual_loop_hoisting_and_sinking","avgt",1,25,"1447,425047","12,913153","us/op",16384
