"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize"
"com.ionutbalosin.jvm.performance.benchmarks.macro.lzwcodec.LzwCodecBenchmark.compress","avgt",1,25,14.356834,0.061993,"ms/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.macro.lzwcodec.LzwCodecBenchmark.decompress","avgt",1,25,0.979205,0.001679,"ms/op",262144
