"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: nodes"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_list_binary_heap","avgt",1,15,"111,486951","1,253809","ms/op",8192
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_matrix","avgt",1,15,"66,041132","2,506230","ms/op",8192
