"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,15,"1,576519","0,092652","us/op",_1_KB,_64_MB,BUFFERED_OUT_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.api.diskio.FilterOutputStreamBenchmark.write","avgt",1,15,"1,484567","0,085454","us/op",_1_KB,_64_MB,DATA_OUT_STREAM
