"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: useLoopResult"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.DeadLoopEliminationBenchmark.baseline","avgt",1,1,"0,369957",NaN,"ns/op",false
"com.ionutbalosin.jvm.performance.benchmarks.compiler.DeadLoopEliminationBenchmark.conditional_dead_loop","avgt",1,1,"15149,380869",NaN,"ns/op",false
"com.ionutbalosin.jvm.performance.benchmarks.compiler.DeadLoopEliminationBenchmark.dead_loop","avgt",1,1,"0,370242",NaN,"ns/op",false
