"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: branches"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.chained_ifs","avgt",1,1,"0,721080",NaN,"ns/op",3
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.chained_ifs","avgt",1,1,"0,872857",NaN,"ns/op",6
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.chained_ifs","avgt",1,1,"1,400065",NaN,"ns/op",12
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.chained_ifs","avgt",1,1,"1,855488",NaN,"ns/op",24
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_expressions","avgt",1,1,"0,677847",NaN,"ns/op",3
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_expressions","avgt",1,1,"0,855739",NaN,"ns/op",6
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_expressions","avgt",1,1,"1,516203",NaN,"ns/op",12
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_expressions","avgt",1,1,"1,926182",NaN,"ns/op",24
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_statements","avgt",1,1,"0,847363",NaN,"ns/op",3
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_statements","avgt",1,1,"0,863698",NaN,"ns/op",6
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_statements","avgt",1,1,"1,434344",NaN,"ns/op",12
"com.ionutbalosin.jvm.performance.benchmarks.compiler.EnumSwitchBenchmark.switch_statements","avgt",1,1,"1,785109",NaN,"ns/op",24
